BoxAWetWeight,Urea_Kgs,Season,Variety,Country,BoxBLength,PlotSize_acres,CAN_Kgs,Year,BoxBDryWeight,DAP_Kgs,NPK_Kgs,BoxALength,BoxAWidth,PlantingDate,BoxBWetWeight,ImgID,Longitude,BoxBWidth,Latitude,BoxADryWeight
21.89,,2015 LR,,Kenya,8.0,1.0,25.0,2015,6.8,50.0,,8.0,5.0,,21.2,id_013ce1ca,34.75905765,5.0,0.818093597,7.75
,,2018 LR,,Kenya,,0.4,,2018,7.5,,,,,,,id_0141307d,35.00144663,,0.042641721,6.75
,,2017 LR,,Kenya,8.0,0.25,0.0,2017,8.35,6.0,,8.0,5.0,,,id_0142efc7,34.59442704,5.0,0.145610883,9.2
12.76,,2018 LR,h6218,Kenya,6.0,1.0,,2018,,50.0,,6.0,6.0,3/10/2018,21.3,id_0144fdaa,35.26143237,6.0,1.076915632,
,,2018 LR,,Tanzania,,1.0,,2018,,,,,,,,id_01488419,35.7176059,,-7.7522119,
,,2018 LR,,Kenya,,0.25,,2018,3.5,,,,,,,id_014ab15b,34.96803427,,-0.888531479,4.45
13.5,,2017 LR,,Kenya,8.0,0.25,12.5,2017,17.0,12.5,,8.0,5.0,,5.5,id_0155f245,34.4783207,5.0,-0.8340289,9.0
11.6,,2018 LR,otherhybrid,Kenya,6.0,1.5,,2018,,50.0,,6.0,6.0,3/8/2018,16.45,id_0158ccf2,34.26206178,6.0,-1.100155469,
,,2017 LR,H 6213,Kenya,,0.125,6.0,2017,,6.0,,8.0,5.0,,,id_0158d79e,34.76883514,,-0.670194486,35.58
11.9,,2018 LR,,Tanzania,6.0,0.5,,2018,5.6,,,6.0,6.0,,8.3,id_015dc1e4,32.8021862,6.0,-9.0173509,9.2
10.15,,2015 LR,,Kenya,8.0,0.03,0.0,2015,10.65,0.0,,8.0,5.0,,9.45,id_01649a33,34.50865649,5.0,0.190218805,16.45
,,2017 LR,,Kenya,8.0,0.5,25.0,2017,14.3,25.0,,8.0,5.0,,,id_01665b5b,34.4055921,5.0,0.7563184,15.2
12.2,,2016 LR,Local,Kenya,8.0,0.5,4.0,2016,7.2,10.0,,,5.0,4/2/2016,13.25,id_01715c37,34.7652742,,-0.354578895,6.25
20.3,,2018 LR,Ks625,Tanzania,6.0,2.0,,2018,18.3,,,6.0,6.0,,21.7,id_0173ca6c,35.5054625,6.0,-8.0076579,17.5
32.35,,2016 LR,PAN_691,Kenya,8.0,0.5,25.0,2016,18.3,25.0,,8.0,5.0,4/26/2016,33.2,id_017ac124,34.65268226,5.0,0.80228767,18.2
,,2017 LR,H 6213,Kenya,8.0,1.0,50.0,2017,20.2,50.0,,8.0,5.0,,,id_017b888f,34.84831714,5.0,0.846438346,19.15
25.35,,2015 LR,,Kenya,8.0,0.75,0.0,2015,8.45,37.5,,8.0,5.0,,15.8,id_018259cd,34.55554611,5.0,0.585251462,15.05
,,2018 LR,,Tanzania,,0.5,,2018,,,,,,,,id_01878a03,35.4937822,,-8.0153346,
15.0,,2017 LR,,Kenya,,0.25,,2017,,,,8.0,5.0,,12.0,id_01892bb8,34.3220895,,0.283639152,7.8
,,2018 LR,,Kenya,,1.0,,2018,23.92,,,,,,,id_0189f0b0,34.74157348,,-0.549490243,24.5
17.45,,2018 LR,otherhybrid,Kenya,6.0,0.125,,2018,,5.0,,6.0,6.0,2/26/2018,20.05,id_018c230c,34.82842589,6.0,-0.871962095,
16.95,,2018 LR,localmaize,Kenya,6.0,1.0,,2018,,45.0,,6.0,6.0,2/26/2018,17.8,id_018cc2f7,34.5558501,6.0,0.2594179,
35.0,,2015 LR,,Kenya,8.0,1.3125,0.0,2015,29.15,50.0,,8.0,5.0,,52.7,id_019bea35,34.97115886,5.0,0.794186132,28.85
